"id","timestamp","memory_usage_percent"
377,"2025-09-15 09:54:48.598493+00","31.82"
379,"2025-09-15 09:54:49.592693+00","31.85"
381,"2025-09-15 09:54:50.588266+00","31.88"
383,"2025-09-15 09:54:51.591864+00","31.91"
385,"2025-09-15 09:54:52.588142+00","31.94"
387,"2025-09-15 09:54:53.591087+00","31.97"
389,"2025-09-15 09:54:54.595457+00","31.98"
391,"2025-09-15 09:54:55.587675+00","32.01"
393,"2025-09-15 09:54:56.589265+00","32.03"
395,"2025-09-15 09:54:58.891547+00","32.05"
397,"2025-09-15 09:54:59.888702+00","32.07"
399,"2025-09-15 09:55:00.887433+00","32.10"
401,"2025-09-15 09:55:01.893061+00","32.16"
403,"2025-09-15 09:55:02.888687+00","32.18"
405,"2025-09-15 09:55:03.887687+00","32.21"
407,"2025-09-15 09:55:04.887396+00","32.25"
409,"2025-09-15 09:55:05.890085+00","32.28"
411,"2025-09-15 09:55:06.888284+00","32.32"
413,"2025-09-15 09:55:07.897127+00","32.37"
415,"2025-09-15 09:55:08.889068+00","32.40"
417,"2025-09-15 09:55:09.916343+00","32.48"
419,"2025-09-15 09:55:10.889728+00","32.50"
421,"2025-09-15 09:55:11.887222+00","32.51"
423,"2025-09-15 09:55:12.888674+00","32.53"
425,"2025-09-15 09:55:13.894583+00","32.59"
427,"2025-09-15 09:55:14.888737+00","32.63"
429,"2025-09-15 09:55:15.888584+00","32.68"
431,"2025-09-15 09:55:16.890562+00","32.73"
433,"2025-09-15 09:55:17.887478+00","32.73"
435,"2025-09-15 09:55:18.888425+00","32.76"
437,"2025-09-15 09:55:19.899376+00","32.78"
439,"2025-09-15 09:55:20.888246+00","32.80"
441,"2025-09-15 09:55:21.888154+00","32.82"
443,"2025-09-15 09:55:22.890902+00","32.52"
445,"2025-09-15 09:55:23.891827+00","32.52"
447,"2025-09-15 09:55:24.893618+00","32.55"
449,"2025-09-15 09:55:25.887815+00","32.60"
451,"2025-09-15 09:55:26.891149+00","32.63"
453,"2025-09-15 09:55:27.888608+00","32.67"
455,"2025-09-15 09:55:30.191762+00","32.70"
457,"2025-09-15 09:55:31.278686+00","32.75"
459,"2025-09-15 09:55:32.195811+00","32.84"
461,"2025-09-15 09:55:33.196435+00","32.82"
463,"2025-09-15 09:55:34.191852+00","32.84"
465,"2025-09-15 09:55:35.191768+00","32.85"
467,"2025-09-15 09:55:36.192853+00","32.84"
469,"2025-09-15 09:55:37.19207+00","32.84"
471,"2025-09-15 09:55:38.330547+00","32.84"
473,"2025-09-15 09:55:39.193301+00","32.84"
475,"2025-09-15 09:55:40.223012+00","32.87"
477,"2025-09-15 09:55:41.231403+00","32.87"
479,"2025-09-15 09:55:42.193551+00","32.84"
481,"2025-09-15 09:55:43.191987+00","32.82"
483,"2025-09-15 09:55:44.191509+00","32.82"
485,"2025-09-15 09:55:45.222818+00","32.82"
487,"2025-09-15 09:55:46.191959+00","33.06"
489,"2025-09-15 09:55:47.200504+00","33.06"
491,"2025-09-15 09:55:48.192106+00","33.05"
493,"2025-09-15 09:55:49.194222+00","33.05"
495,"2025-09-15 09:55:50.200338+00","33.04"
497,"2025-09-15 09:55:51.192709+00","33.02"
499,"2025-09-15 09:55:52.193527+00","33.02"
501,"2025-09-15 09:55:53.191895+00","33.02"
503,"2025-09-15 09:55:54.196185+00","33.02"
505,"2025-09-15 09:55:55.199203+00","33.02"
507,"2025-09-15 09:55:56.192898+00","33.02"
509,"2025-09-15 09:55:57.192914+00","33.01"
511,"2025-09-15 09:55:58.192307+00","33.01"
513,"2025-09-15 09:55:59.192112+00","33.01"
515,"2025-09-15 09:56:00.43433+00","33.01"
517,"2025-09-15 09:56:02.18294+00","33.00"
519,"2025-09-15 09:56:03.183123+00","33.00"
521,"2025-09-15 09:56:04.182745+00","33.01"
523,"2025-09-15 09:56:05.18232+00","33.00"
525,"2025-09-15 09:56:06.182771+00","33.00"
527,"2025-09-15 09:56:07.182731+00","32.99"
529,"2025-09-15 09:56:08.182033+00","32.99"
531,"2025-09-15 09:56:09.182233+00","32.98"
533,"2025-09-15 09:56:10.184122+00","32.98"
535,"2025-09-15 09:56:11.184925+00","32.98"
537,"2025-09-15 09:56:12.185481+00","32.97"
539,"2025-09-15 09:56:13.186012+00","32.96"
541,"2025-09-15 09:56:14.183523+00","32.96"
543,"2025-09-15 09:56:15.183776+00","32.96"
545,"2025-09-15 09:56:16.181838+00","32.96"
547,"2025-09-15 09:56:17.182913+00","32.98"
549,"2025-09-15 09:56:18.18351+00","33.00"
551,"2025-09-15 09:56:19.18286+00","32.99"
553,"2025-09-15 09:56:20.182472+00","32.99"
555,"2025-09-15 09:56:21.184534+00","32.98"
557,"2025-09-15 09:56:22.182768+00","32.98"
559,"2025-09-15 09:56:23.182931+00","32.98"
561,"2025-09-15 09:56:24.182619+00","32.98"
563,"2025-09-15 09:56:25.183285+00","33.03"
565,"2025-09-15 09:56:26.183389+00","33.01"
567,"2025-09-15 09:56:27.184981+00","33.01"
569,"2025-09-15 09:56:28.183393+00","33.01"
571,"2025-09-15 09:56:29.184775+00","33.05"
573,"2025-09-15 09:56:30.183213+00","33.06"
575,"2025-09-15 09:56:32.553117+00","33.06"
577,"2025-09-15 09:56:33.522156+00","33.06"
579,"2025-09-15 09:56:34.520811+00","33.06"
581,"2025-09-15 09:56:35.521007+00","33.07"
583,"2025-09-15 09:56:36.523171+00","33.08"
585,"2025-09-15 09:56:37.520587+00","33.02"
587,"2025-09-15 09:56:38.522343+00","33.02"
589,"2025-09-15 09:56:39.520938+00","33.01"
591,"2025-09-15 09:56:40.536747+00","33.05"
593,"2025-09-15 09:56:41.520894+00","33.05"
595,"2025-09-15 09:56:42.522039+00","33.05"
597,"2025-09-15 09:56:43.520337+00","33.04"
599,"2025-09-15 09:56:44.523566+00","33.05"
601,"2025-09-15 09:56:45.525109+00","33.05"
603,"2025-09-15 09:56:46.523014+00","33.09"
605,"2025-09-15 09:56:47.521807+00","33.09"
607,"2025-09-15 09:56:48.522379+00","33.14"
609,"2025-09-15 09:56:49.521061+00","33.15"
611,"2025-09-15 09:56:50.522267+00","33.16"
613,"2025-09-15 09:56:51.524497+00","33.17"
615,"2025-09-15 09:56:52.522262+00","33.20"
617,"2025-09-15 09:56:53.52585+00","33.21"
619,"2025-09-15 09:56:54.522787+00","33.24"
621,"2025-09-15 09:56:55.522849+00","33.27"
