"id","timestamp","cpu_usage_percent"
162,"2025-09-15 12:11:39.543226+00","13.55"
164,"2025-09-15 12:11:39.54808+00","13.55"
166,"2025-09-15 12:11:39.553963+00","13.55"
168,"2025-09-15 12:11:39.559556+00","13.55"
170,"2025-09-15 12:11:39.564884+00","13.55"
172,"2025-09-15 12:11:39.572548+00","13.55"
174,"2025-09-15 12:11:39.577754+00","13.55"
176,"2025-09-15 12:11:39.583162+00","13.55"
178,"2025-09-15 12:11:39.588424+00","13.55"
180,"2025-09-15 12:11:39.594287+00","13.55"
182,"2025-09-15 12:11:39.600378+00","13.55"
184,"2025-09-15 12:11:39.605458+00","13.55"
186,"2025-09-15 12:11:39.610278+00","13.55"
188,"2025-09-15 12:11:39.615064+00","13.55"
190,"2025-09-15 12:11:39.619749+00","13.55"
192,"2025-09-15 12:11:39.624858+00","13.55"
194,"2025-09-15 12:11:39.629628+00","13.55"
196,"2025-09-15 12:11:39.635018+00","13.55"
198,"2025-09-15 12:11:39.640401+00","13.55"
200,"2025-09-15 12:11:39.645426+00","13.55"
202,"2025-09-15 12:11:39.65053+00","12.41"
204,"2025-09-15 12:11:39.655728+00","12.41"
206,"2025-09-15 12:11:39.6612+00","12.41"
208,"2025-09-15 12:11:39.66601+00","12.41"
210,"2025-09-15 12:11:39.670745+00","12.41"
212,"2025-09-15 12:11:39.675894+00","12.41"
214,"2025-09-15 12:11:39.680635+00","12.41"
216,"2025-09-15 12:11:39.685237+00","12.41"
218,"2025-09-15 12:11:39.689911+00","12.41"
220,"2025-09-15 12:11:39.694663+00","12.41"
222,"2025-09-15 12:11:39.699469+00","12.41"
224,"2025-09-15 12:11:39.704235+00","12.41"
226,"2025-09-15 12:11:39.708946+00","12.41"
228,"2025-09-15 12:11:39.713826+00","12.41"
230,"2025-09-15 12:11:39.718698+00","12.41"
232,"2025-09-15 12:11:39.725774+00","12.41"
234,"2025-09-15 12:11:39.73073+00","12.41"
236,"2025-09-15 12:11:39.735996+00","12.41"
238,"2025-09-15 12:11:39.741315+00","12.41"
240,"2025-09-15 12:11:39.746527+00","12.41"
242,"2025-09-15 12:11:39.752075+00","12.41"
244,"2025-09-15 12:11:40.511154+00","9.40"
246,"2025-09-15 12:11:41.514533+00","7.76"
248,"2025-09-15 12:11:42.51084+00","9.29"
250,"2025-09-15 12:11:43.512927+00","13.80"
252,"2025-09-15 12:11:44.5096+00","10.39"
254,"2025-09-15 12:11:45.510671+00","11.43"
256,"2025-09-15 12:11:46.509904+00","12.08"
258,"2025-09-15 12:11:47.515899+00","11.87"
260,"2025-09-15 12:11:48.516194+00","11.07"
262,"2025-09-15 12:11:49.537412+00","9.04"
264,"2025-09-15 12:11:50.515558+00","13.45"
266,"2025-09-15 12:11:51.507509+00","12.17"
268,"2025-09-15 12:11:52.518171+00","14.61"
270,"2025-09-15 12:11:53.520054+00","8.23"
272,"2025-09-15 12:11:54.525749+00","10.14"
274,"2025-09-15 12:11:55.509051+00","10.99"
276,"2025-09-15 12:11:56.516023+00","10.21"
278,"2025-09-15 12:11:57.513488+00","7.65"
280,"2025-09-15 12:11:58.508214+00","10.72"
282,"2025-09-15 12:11:59.50887+00","12.76"
284,"2025-09-15 12:12:00.508652+00","12.45"
286,"2025-09-15 12:12:01.529674+00","6.10"
288,"2025-09-15 12:12:02.512292+00","9.98"
290,"2025-09-15 12:12:03.534517+00","8.24"
292,"2025-09-15 12:12:04.523391+00","10.69"
294,"2025-09-15 12:12:05.53201+00","9.38"
296,"2025-09-15 12:12:06.548509+00","9.23"
298,"2025-09-15 12:12:07.512927+00","12.11"
300,"2025-09-15 12:12:08.508638+00","10.53"
302,"2025-09-15 12:12:09.510529+00","6.41"
304,"2025-09-15 12:12:10.508642+00","9.12"
306,"2025-09-15 12:12:11.511034+00","12.89"
308,"2025-09-15 12:12:12.518013+00","9.15"
310,"2025-09-15 12:12:13.513243+00","9.54"
312,"2025-09-15 12:12:14.50771+00","11.74"
314,"2025-09-15 12:12:15.507929+00","11.23"
316,"2025-09-15 12:12:16.54181+00","12.58"
318,"2025-09-15 12:12:17.508136+00","12.36"
320,"2025-09-15 12:12:18.507636+00","12.49"
