"id","timestamp","memory_usage_percent"
489,"2025-09-15 12:13:43.036258+00","55.10"
491,"2025-09-15 12:13:43.972852+00","56.31"
493,"2025-09-15 12:13:44.976368+00","56.34"
495,"2025-09-15 12:13:45.955868+00","56.51"
497,"2025-09-15 12:13:46.905988+00","56.13"
499,"2025-09-15 12:13:47.880766+00","55.61"
501,"2025-09-15 12:13:48.802565+00","53.98"
503,"2025-09-15 12:13:49.716577+00","48.93"
505,"2025-09-15 12:13:50.514786+00","37.94"
507,"2025-09-15 12:13:51.518318+00","37.95"
509,"2025-09-15 12:13:52.522096+00","37.84"
511,"2025-09-15 12:13:53.500944+00","37.84"
513,"2025-09-15 12:13:54.532242+00","37.85"
515,"2025-09-15 12:13:55.517153+00","37.81"
517,"2025-09-15 12:13:56.524972+00","37.81"
519,"2025-09-15 12:13:57.50022+00","37.81"
521,"2025-09-15 12:13:58.506517+00","37.81"
523,"2025-09-15 12:13:59.506689+00","37.81"
525,"2025-09-15 12:14:00.500475+00","37.81"
527,"2025-09-15 12:14:01.501453+00","37.83"
529,"2025-09-15 12:14:02.500166+00","37.88"
531,"2025-09-15 12:14:03.499517+00","37.83"
533,"2025-09-15 12:14:04.499434+00","37.86"
535,"2025-09-15 12:14:05.520927+00","37.86"
537,"2025-09-15 12:14:06.499909+00","37.86"
539,"2025-09-15 12:14:07.500762+00","37.54"
541,"2025-09-15 12:14:08.499628+00","37.48"
543,"2025-09-15 12:14:09.499758+00","37.49"
545,"2025-09-15 12:14:10.500966+00","37.49"
547,"2025-09-15 12:14:11.500225+00","37.50"
549,"2025-09-15 12:14:12.500373+00","37.54"
551,"2025-09-15 12:14:13.500602+00","37.54"
553,"2025-09-15 12:14:14.500886+00","37.55"
555,"2025-09-15 12:14:15.504782+00","37.59"
557,"2025-09-15 12:14:16.499691+00","37.59"
559,"2025-09-15 12:14:17.500968+00","37.57"
561,"2025-09-15 12:14:18.500068+00","37.60"
563,"2025-09-15 12:14:19.500811+00","37.63"
565,"2025-09-15 12:14:20.500067+00","37.66"
