"id","timestamp","cpu_usage_percent"
1259,"2025-09-09 13:45:26.338045+00","11.31"
1260,"2025-09-09 13:45:26.342964+00","11.31"
1261,"2025-09-09 13:45:26.347703+00","11.31"
1262,"2025-09-09 13:45:26.351881+00","11.31"
1263,"2025-09-09 13:45:26.356766+00","11.31"
1264,"2025-09-09 13:45:26.362165+00","11.31"
1265,"2025-09-09 13:45:26.367655+00","11.31"
1266,"2025-09-09 13:45:26.371973+00","11.31"
1267,"2025-09-09 13:45:26.378111+00","11.31"
1268,"2025-09-09 13:45:26.383733+00","11.31"
1269,"2025-09-09 13:45:26.389556+00","11.31"
1270,"2025-09-09 13:45:26.393901+00","11.31"
1271,"2025-09-09 13:45:26.398135+00","11.31"
1272,"2025-09-09 13:45:26.40235+00","11.31"
1273,"2025-09-09 13:45:26.408124+00","11.31"
1274,"2025-09-09 13:45:26.413968+00","11.31"
1275,"2025-09-09 13:45:26.418666+00","11.31"
1276,"2025-09-09 13:45:26.422607+00","11.31"
1277,"2025-09-09 13:45:26.426759+00","11.31"
1278,"2025-09-09 13:45:26.430963+00","11.31"
1279,"2025-09-09 13:45:26.438546+00","11.31"
1280,"2025-09-09 13:45:26.804898+00","8.23"
1281,"2025-09-09 13:45:27.805841+00","5.32"
1282,"2025-09-09 13:45:28.810322+00","7.17"
1283,"2025-09-09 13:45:29.806159+00","8.65"
1284,"2025-09-09 13:45:30.805721+00","10.43"
1285,"2025-09-09 13:45:31.80559+00","15.68"
1286,"2025-09-09 13:45:32.806036+00","7.23"
1287,"2025-09-09 13:45:33.813778+00","9.96"
1288,"2025-09-09 13:45:34.806051+00","11.28"
1289,"2025-09-09 13:45:35.805704+00","9.92"
1290,"2025-09-09 13:45:36.811068+00","11.76"
1291,"2025-09-09 13:45:37.824368+00","7.74"
1292,"2025-09-09 13:45:38.80632+00","8.78"
1293,"2025-09-09 13:45:39.841034+00","8.25"
1294,"2025-09-09 13:45:40.805219+00","8.43"
1295,"2025-09-09 13:45:41.847233+00","11.66"
1296,"2025-09-09 13:45:42.805478+00","10.55"
1297,"2025-09-09 13:45:43.808408+00","7.78"
1298,"2025-09-09 13:45:44.805343+00","7.22"
1299,"2025-09-09 13:45:45.804953+00","9.23"
